participant,channels                                                                       ,n_channels,channel_acc
1          ,"[10, 19, 25, 4, 6, 13, 24, 18, 26, 16, 17, 5, 22, 8, 9, 27, 3, 11, 14, 7]"    ,20        ,"[0.196918357099644, 0.0002394313012849922, 0.17681475326999002, 0.38551093664368874, 0.6771631403518935, 0.43662979427240967, 0.6351576076253845, 0.21086244849579672, 0.41375013353944873, 0.40176184220104516, 0.8659744906864647, 0.27907804362531924, 0.027092837450773045, 0.6257740197856195, 0.235904466180161, 0.005155551170680219, 0.46370568250364985, 0.45430840889708907, 0.5466708559322097, 0.7863896775073744, 0.08775208091239073, 0.1298310530762079, 0.43579842729378676, 0.004588015450203792, 0.6061521138080966, 0.6923028460872317, 0.4681352391376008, 0.3880184675551068, 0.00292928037740684, 0.001942998105949512, 0.012291841352990773, 0.08583750562828144]"
2          ,"[28, 26, 14, 9, 22, 19, 6, 7, 4, 18, 24, 0, 2, 5, 20, 15, 31, 8, 29, 21]"     ,20        ,"[0.2911317854166344, 0.022100423922611898, 0.27294496451658334, 0.0, 0.4403367750265791, 0.2571532578200183, 0.49789041099296577, 0.4906240900430369, 0.13299427882906012, 0.7269461313145951, 0.0, 0.0, 0.0, 0.0, 0.785248131539365, 0.14590463745387572, 0.0008478580190266806, 0.0, 0.4046346452004979, 0.6098437952088401, 0.18165276868587077, 0.099657079353419, 0.7080874051623797, 0.003022460778775683, 0.37938415972970685, 0.0025514860149621343, 0.8419960839741394, 0.088243638455814, 0.842626579400982, 0.13130231071974185, 0.0, 0.13364522342318028]"
3          ,"[19, 1, 17, 18, 29, 2, 15, 7, 23, 12, 6, 24, 14, 31, 0, 28, 21, 3, 22, 30]"   ,20        ,"[0.4179535147996157, 0.8417533636209462, 0.7183235498659306, 0.3260501038808189, 0.1354211660482454, 0.0010937906586134805, 0.4777585535920563, 0.4912506957748247, 0.15062401648480603, 0.04175034431644409, 0.15202177761421298, 0.024755469215652748, 0.4857445676896862, 0.25928752521283627, 0.45262918278290665, 0.5575749777511073, 0.22280251508942073, 0.7825421632335192, 0.7544061883736314, 0.9365856989646837, 0.01353420420243967, 0.3398649768733223, 0.3201750594117567, 0.4862775746634883, 0.4708315531561251, 0.09247475389095808, 0.26807320506624294, 0.16986605988121473, 0.393045901256485, 0.7423930888596576, 0.3177883241811608, 0.4356747791535316]"
4          ,"[5, 4, 16, 15, 21, 25, 29, 9, 24, 19, 11, 2, 1, 27, 30, 8, 31, 17, 7, 0]"     ,20        ,"[0.2567652597723903, 0.3882017392335886, 0.432213444347379, 0.00014948391763425865, 0.9386725711893719, 0.9883364381116155, 0.10562954636212331, 0.26236948843538765, 0.3582318986214706, 0.620792337365625, 0.11881939804159956, 0.4512302998013449, 0.07444331764417537, 0.0, 0.1441952173585029, 0.872305016587923, 0.9358872184447474, 0.3004527333405891, 0.0, 0.4910657051090565, 0.00035246279953023743, 0.867239917132543, 0.10107566119639405, 0.0310581765237278, 0.49553131575112486, 0.7423759345648253, 0.006734874090137759, 0.37840654926160655, 0.16126668023186563, 0.6609615110363689, 0.3757737761846177, 0.33158733276772684]"
5          ,"[12, 1, 28, 9, 8, 30, 11, 29, 0, 15, 13, 10, 23, 25, 4, 22, 2, 3, 31, 24]"    ,20        ,"[0.4949021426888719, 0.9729599801723989, 0.33887967062098057, 0.28065848296804247, 0.3572019169288796, 0.11748303769638706, 0.0058211906482262, 0.0021036122383152785, 0.7026765607497846, 0.7500173857785718, 0.43595825179122527, 0.5976078866246463, 0.9824359936807672, 0.4371663832529543, 0.05260636679548944, 0.44686504201022337, 0.02672088945614848, 0.11891541621867492, 0.03215839786365049, 0.14930649634698884, 0.12887050056710897, 0.0037051157623259846, 0.346651102624253, 0.3803612864095867, 0.19001276061447006, 0.3683858368781256, 0.007881837109730894, 0.1716034845980668, 0.8276007080863222, 0.5818310089198064, 0.6440891635294601, 0.2577075791562202]"
6          ,"[28, 1, 0, 4, 26, 22, 15, 19, 24, 25, 7, 8, 17, 9, 14, 5, 27, 23, 3, 6]"      ,20        ,"[0.5904716760782582, 0.990696036650746, 0.0, 0.1578237634107967, 0.5830258699882396, 0.23551029659413897, 0.1464979550060328, 0.36449728220507555, 0.357965487953903, 0.32032460873241786, 0.0, 0.0, 0.013415229426305075, 0.0, 0.2510037493890007, 0.5599167960944099, 0.05140246100888818, 0.3492493325789271, 0.10047008936361147, 0.42432477742215363, 0.0, 0.0, 0.5650199391332561, 0.20484057441491416, 0.3816626140930886, 0.3652714562679521, 0.5719088670785495, 0.2271014257150526, 1.0, 0.12928064507941756, 0.0, 0.0]"
7          ,"[20, 8, 25, 15, 13, 12, 18, 2, 5, 1, 28, 7, 23, 17, 22, 4, 6, 30, 14, 16]"    ,20        ,"[0.04541536150580292, 0.44403330622773085, 0.5587351264337126, 0.004235555005986301, 0.24544837270947428, 0.4534737133011158, 0.19459257949431755, 0.4347469879500496, 0.9881966142816859, 0.0, 0.03086738629272351, 0.0, 0.7251939178575427, 0.7753788300644303, 0.11183068968286049, 0.84518702461486, 0.08648541077422586, 0.32818276312408795, 0.5723347025744759, 0.061586815389131154, 1.0, 0.0, 0.2620043891481553, 0.3929303883434277, 0.0, 0.9095962941018515, 0.0, 0.0, 0.43928360245759707, 0.0, 0.18127126697483492, 0.02669767340234194]"
8          ,"[19, 1, 17, 18, 29, 2, 15, 7, 23, 12, 6, 24, 14, 31, 0, 28, 21, 3, 22, 30]"   ,20        ,"[0.4179535147996157, 0.8417533636209462, 0.7183235498659306, 0.3260501038808189, 0.1354211660482454, 0.0010937906586134805, 0.4777585535920563, 0.4912506957748247, 0.15062401648480603, 0.04175034431644409, 0.15202177761421298, 0.024755469215652748, 0.4857445676896862, 0.25928752521283627, 0.45262918278290665, 0.5575749777511073, 0.22280251508942073, 0.7825421632335192, 0.7544061883736314, 0.9365856989646837, 0.01353420420243967, 0.3398649768733223, 0.3201750594117567, 0.4862775746634883, 0.4708315531561251, 0.09247475389095808, 0.26807320506624294, 0.16986605988121473, 0.393045901256485, 0.7423930888596576, 0.3177883241811608, 0.4356747791535316]"
9          ,"[1, 18, 15, 14, 16, 23, 0, 22, 10, 26, 19, 27, 5, 3, 25, 24, 17, 7, 11, 6]"   ,20        ,"[0.6639937445542604, 1.0, 0.23701963701413203, 0.4264150305672385, 0.17162456399100126, 0.45876100858550567, 0.2588165205468476, 0.33930432451835274, 0.029597305399008764, 0.12350595205729874, 0.49321457086066123, 0.3232142396925327, 0.15731446302412005, 0.0038090318015636393, 0.8717464742111699, 0.9361484982140155, 0.8323943350945834, 0.39045444449118033, 0.9986395057866215, 0.4630480633987927, 0.18686920588410297, 0.24915576862916813, 0.49635573746291173, 0.775832309292073, 0.396337561667046, 0.41238258948706197, 0.47485142176994427, 0.4608512540487173, 0.017852391146597216, 0.05122036680778911, 0.0008653102426930276, 0.2149279076644628]"
10         ,"[28, 17, 24, 6, 10, 14, 31, 22, 3, 27, 18, 21, 12, 25, 9, 30, 29, 26, 13, 11]",20        ,"[0.17685696599684061, 0.17600764333354413, 0.10934755672681551, 0.5759146284779829, 0.15151885623756925, 0.17115120063623065, 0.912798904996006, 0.19784339699793987, 0.0, 0.4274872179144634, 0.7849697694642187, 0.21111613970365642, 0.4554354860791758, 0.34054264972938764, 0.7272119938960728, 0.0, 0.10745334974606799, 0.9342995856305039, 0.473852762710618, 0.0, 0.0, 0.46013482862810595, 0.6332961940977162, 0.0, 0.928929018212412, 0.45441290348649915, 0.4049059137705297, 0.48185077359544853, 0.978943921745102, 0.4079661649423904, 0.4117848563263221, 0.6410943634138255]"
11         ,"[12, 1, 28, 9, 8, 30, 11, 29, 0, 13, 15, 10, 23, 25, 4, 2, 3, 22, 31, 26]"    ,20        ,"[0.4906614823869727, 0.9334837480516982, 0.3419205111101228, 0.2686391584839794, 0.35899894814816213, 0.16147700986251187, 0.0840850021045865, 0.0005463698892652524, 0.7109344864749176, 0.7454804485783361, 0.4212722258828231, 0.5958208229922952, 0.9811120585847459, 0.4403561615098976, 0.05303302932014298, 0.42255043018212324, 0.022019915445988553, 0.11817456704017046, 0.03350741601414997, 0.1496407616412965, 0.11425210823607443, 0.0, 0.2624602952847086, 0.3727951925543978, 0.18905470826731616, 0.36849854915712504, 0.2504540377928679, 0.1745035069113351, 0.8219015204506686, 0.5871224299923047, 0.6481681371216187, 0.2579044582450744]"
12         ,"[21, 20, 23, 17, 13, 9, 14, 10, 6, 25, 24, 1, 18, 31, 11, 28, 15, 19, 29, 7]" ,20        ,"[0.22771087961937675, 0.4467393430492404, 0.22254020419689918, 0.10666941120921639, 0.22304438697357312, 0.06470737781143672, 0.4892715305704335, 0.2693614069949986, 0.22556709832378796, 0.7348634781668718, 0.4949372923170361, 0.4260378559307537, 0.057499558602822076, 0.7494448012917089, 0.5024481679468451, 0.3299997734867376, 0.0, 0.8473241466547017, 0.44557168855532603, 0.2920504059676401, 1.0, 1.0, 0.03173422660605707, 0.8994938361380933, 0.4777282485400658, 0.48686620264080804, 0.1938746367849006, 0.0, 0.3523707821020421, 0.28506103630929075, 0.10442342826549449, 0.42811193103580614]"
