participant,channels                                                                       ,n_channels,channel_acc
1          ,"[27, 10, 26, 13, 25, 29, 0, 1, 16, 30, 28, 7, 31, 8, 11, 6, 19, 15, 18, 2]"   ,20        ,"[0.5143762501635935, 0.4823222591852616, 0.23541476276752443, 0.21459478920048206, 0.0016019720933223966, 0.028412513917831485, 0.31973244283021673, 0.4349982538761271, 0.34264010878498014, 0.20408833449117444, 0.9270659756042255, 0.3383706686850976, 0.23155702405574702, 0.8371456632278741, 0.010490559136092653, 0.24931622220865218, 0.4592644695455774, 0.00491718680943553, 0.2482624465387861, 0.3090054109597059, 0.0, 0.23023730519046187, 0.1486612675306564, 0.0933528745810918, 0.0, 0.7469260423091186, 0.9107188790524227, 1.0, 0.4472327917263667, 0.5914914669568577, 0.4549821935431898, 0.42618192042281305]"
2          ,"[10, 3, 7, 26, 2, 16, 11, 8, 20, 4, 18, 29, 0, 15, 23, 14, 19, 17, 6, 5]"     ,20        ,"[0.42552017293764616, 0.23446050458655793, 0.7188947788430616, 0.9106208145603256, 0.4561673107322774, 0.3338059313989615, 0.33614546156933894, 0.7966699198234117, 0.5568606896125512, 0.10215011630049517, 0.9952827435707252, 0.5823680437783687, 0.13675992243025586, 0.22144522653202972, 0.3800530073968395, 0.422856320304682, 0.622321101859702, 0.3578673431884091, 0.43561472118002376, 0.3630225431059404, 0.5273556624783705, 0.1110726233585658, 0.26727609847821526, 0.3925911154848396, 0.017828534064857404, 0.261422690695666, 0.7425366815903222, 0.07980094232455989, 0.2887015115535976, 0.4280222304129645, 0.14219388838293595, 0.3033932471423733]"
3          ,"[24, 22, 14, 17, 11, 9, 31, 10, 5, 2, 13, 15, 26, 0, 23, 6, 28, 20, 18, 30]"  ,20        ,"[0.3844281119511055, 0.0, 0.45202680262275474, 0.0036538424787345815, 0.09839720741944846, 0.47898467777355225, 0.31091228092570516, 0.0, 0.18862588745264955, 0.5937042243079741, 0.48255696417162175, 0.7434890818693803, 0.0, 0.44065736763201546, 0.8068958671172479, 0.4057302061750416, 0.17067686519682182, 0.7995468788891198, 0.23251155926928535, 0.0004331953773417858, 0.23552045377430791, 0.038594299276500266, 0.9780696933501355, 0.37690365746661436, 1.0, 0.04321876779464428, 0.4030895569856298, 0.0013864707803707386, 0.24179257799425063, 0.2044463181389131, 0.2258897254479459, 0.5169699309032728]"
4          ,"[9, 27, 24, 2, 7, 31, 25, 10, 16, 28, 20, 1, 30, 21, 11, 0, 26, 17, 23, 8]"   ,20        ,"[0.37298699025528986, 0.40434979247984854, 0.7314829200454196, 0.3275345146728616, 0.018351331778363397, 0.0, 0.0, 0.6613819215703923, 0.3371284109048685, 1.0, 0.4783059322586356, 0.3863241555448552, 0.1314422144902836, 0.02228085585151935, 0.14579870004993783, 0.0, 0.47274208559499076, 0.3629442729916872, 0.3329697852315291, 0.0008902440454410076, 0.4666368394234382, 0.4000844382716353, 0.0, 0.3500429977070901, 0.7944282721406161, 0.4979016481120733, 0.37018334902966576, 0.9494300728352573, 0.468222067738937, 0.12811917257048563, 0.40302316476862704, 0.6265911012531685]"
5          ,"[27, 16, 1, 5, 28, 29, 4, 11, 26, 20, 30, 15, 8, 23, 2, 25, 12, 10, 14, 9]"   ,20        ,"[0.09219249565169729, 0.9478890619502348, 0.38231010963951073, 0.27357194493803666, 0.6058537812731553, 0.922763919977399, 0.09260009574121142, 0.05145854084976886, 0.39431839483047626, 0.36119953428276297, 0.37542725711117425, 0.576993818543059, 0.37589849116866103, 0.13931604575119305, 0.36741410230517924, 0.40504800594004964, 0.9555370819922427, 0.00027148309108621094, 0.24665425929061768, 0.11782787076604351, 0.4206882535564327, 0.11596337098065905, 0.16108737476740953, 0.392613248506994, 0.3574198887534158, 0.3774217707728985, 0.4871105583236609, 1.0, 0.7680143679320556, 0.6275287305218051, 0.41032728600057056, 0.0]"
6          ,"[16, 11, 7, 13, 29, 18, 25, 20, 27, 4, 17, 12, 21, 14, 6, 22, 24, 19, 3, 30]" ,20        ,"[0.01641013876483899, 0.08091823328432697, 0.07483259302823977, 0.2318915241386483, 0.4497264893134664, 0.14609892017835263, 0.37121311431698834, 0.7480418033923742, 0.02890202697280214, 0.0, 0.2147278266453726, 0.7907804510060928, 0.4171374292980316, 0.6456580921075471, 0.3728328890808338, 0.053001793220951034, 0.9091272961360262, 0.42020894133710335, 0.6268919847060151, 0.24988026115242334, 0.5643128764489451, 0.4145343329591774, 0.3280914689996366, 0.02992494418369302, 0.30517090152163284, 0.5664796851097439, 0.14628906757384333, 0.4946576670133855, 0.06405835473248905, 0.6442816156343308, 0.22898934425891393, 0.027323051391278386]"
7          ,"[22, 14, 8, 6, 10, 29, 30, 19, 11, 27, 31, 24, 13, 3, 26, 2, 0, 16, 23, 18]"  ,20        ,"[0.32935009679230065, 0.13214092218533746, 0.3305095669079337, 0.3632790471547074, 0.04476456137540785, 0.003024526030479156, 0.8280242322450513, 0.08493579257843908, 0.8618317840925881, 0.02064834646731306, 0.7903611257390794, 0.454664812952127, 0.0, 0.3659252774324014, 0.9710887115745465, 0.12027654274436339, 0.3163843133691329, 0.01807668230760309, 0.19135817068536043, 0.4688775559987479, 0.0, 0.15079108705769084, 1.0, 0.25043406960299863, 0.4207535962825467, 0.15386008803791995, 0.34729273862818716, 0.45059289181496986, 0.0, 0.7311774766764236, 0.47741489638350476, 0.43652339811232665]"
8          ,"[27, 26, 13, 10, 25, 11, 29, 1, 6, 7, 28, 30, 0, 3, 15, 31, 8, 16, 14, 19]"   ,20        ,"[0.4161691492995804, 0.5675755510946714, 0.0, 0.408717752195071, 0.18605928836040203, 0.025069266049850217, 0.47367564538244655, 0.46837794357593704, 0.3404382864743392, 0.2168072595357257, 0.9209995910016454, 0.6170625600537069, 0.2202373458999126, 0.9531660511463089, 0.3160966248762215, 0.4085716332424507, 0.3243701784461162, 0.004656027757028938, 0.24492355550516906, 0.3131671826589118, 0.0, 0.2893821844328679, 0.14267351472440137, 0.09151037863989508, 0.006900403595846581, 0.7465806298859613, 0.9658007301006125, 1.0, 0.4622077627466315, 0.5834170922146295, 0.4553076962990176, 0.3455456992445717]"
9          ,"[22, 14, 8, 6, 10, 29, 30, 19, 11, 27, 31, 24, 13, 3, 26, 2, 0, 16, 23, 18]"  ,20        ,"[0.32935009679230065, 0.13214092218533746, 0.3305095669079337, 0.3632790471547074, 0.04476456137540785, 0.003024526030479156, 0.8280242322450513, 0.08493579257843908, 0.8618317840925881, 0.02064834646731306, 0.7903611257390794, 0.454664812952127, 0.0, 0.3659252774324014, 0.9710887115745465, 0.12027654274436339, 0.3163843133691329, 0.01807668230760309, 0.19135817068536043, 0.4688775559987479, 0.0, 0.15079108705769084, 1.0, 0.25043406960299863, 0.4207535962825467, 0.15386008803791995, 0.34729273862818716, 0.45059289181496986, 0.0, 0.7311774766764236, 0.47741489638350476, 0.43652339811232665]"
10         ,"[11, 18, 17, 6, 26, 4, 21, 8, 31, 30, 7, 23, 13, 27, 12, 25, 22, 15, 10, 1]"  ,20        ,"[0.0, 0.30502069601183057, 0.13088536547355434, 0.024935143584883676, 0.5891118679698752, 0.022691860219567372, 0.6408817077516437, 0.4629678730030249, 0.5841405899268364, 0.0, 0.3305379005489932, 1.0, 0.4173022567500857, 0.44328575685110716, 0.0, 0.39427823330739425, 0.08820398118747086, 0.7595324011450565, 0.9351002622722562, 0.17200897564545206, 0.10929598227656068, 0.5886323163179267, 0.3975625869712782, 0.4507662459657583, 0.07835257869668204, 0.4104962228046489, 0.6240546701024408, 0.42301326974661, 0.1692525436210926, 0.0, 0.46536094948828866, 0.47053331267235426]"
