participant,channels,n_channels,channel_acc
1,"[6, 12, 21, 26, 15, 28, 4, 31, 0, 14, 29, 17, 9, 30, 1, 3, 22, 8, 18, 10]",20,"[0.40022267574143894, 0.3031732328890308, 0.09209565227854934, 0.26364596544329, 0.40702451435815834, 0.2032876118207355, 0.9852884808951922, 0.1264737014487032, 0.2080411197424339, 0.33581587025312026, 0.20474507320884897, 0.027492572786243025, 0.7763377504736518, 0.004547353706294483, 0.381310855133338, 0.4267975216706596, 0.17493499221569886, 0.35084016428832165, 0.20519803946152362, 0.13331393991320062, 0.16276272730007516, 0.49400271188071104, 0.23323722014115034, 0.0739064939077243, 0.035242668935358885, 0.0748436999027381, 0.47928797845067117, 0.09669690501864038, 0.4265519406891478, 0.37532015800814617, 0.33105188050222506, 0.40060987513856877]"
2,"[11, 28, 17, 4, 31, 19, 18, 3, 9, 1, 6, 7, 8, 29, 16, 23, 27, 5, 30, 22]",20,"[0.16317668513403924, 0.35397722073979426, 0.0, 0.39687776702933686, 0.6089043895116109, 0.19528158898242312, 0.33176237645734014, 0.3297655081547049, 0.3165644812079317, 0.37312541612157674, 0.14720633410459918, 1.0, 0.06367913805628897, 0.10418385130628026, 0.07266110990948135, 0.0692344382328637, 0.25145429174653083, 0.826784183161659, 0.4104193625239965, 0.45752869503657534, 0.0, 0.14881325712319415, 0.168326578964733, 0.21941854374746458, 0.07337147806451033, 0.0979336497490289, 0.0, 0.19850217363072867, 0.9673694364336064, 0.2606132089168527, 0.18641413129496912, 0.5103912131776556]"
3,"[27, 23, 18, 1, 3, 28, 10, 31, 22, 8, 26, 21, 15, 17, 19, 7, 16, 30, 13, 4]",20,"[0.1700604262768903, 0.7728186754761616, 0.06232422461384881, 0.6413956295872697, 0.21507464365117968, 0.07738229146676519, 0.0, 0.30064035316137344, 0.39700621901476535, 0.09850327733007565, 0.47892343586184594, 0.022762848669856468, 0.178769857388296, 0.24286306428074914, 0.20728568396135683, 0.33514716914662723, 0.27502624258223235, 0.3315097099265285, 0.7782039164021418, 0.3188988205464703, 0.029903335950508505, 0.3694390395656975, 0.4165507489250752, 0.8289138987524072, 0.0374900838429714, 0.14417190084093312, 0.3921144224393068, 0.8305770454214182, 0.49373101101151357, 0.12625015748049417, 0.24850566968311907, 0.4289931341308902]"
4,"[11, 22, 29, 13, 14, 16, 27, 26, 25, 4, 8, 31, 15, 20, 5, 30, 10, 2, 28, 24]",20,"[0.24700107145479833, 0.18117750270561395, 0.3279037115919557, 0.25269341237780174, 0.3935511887785692, 0.370278323655102, 0.11897132138966258, 0.2009228767227775, 0.38371506216281, 0.11506365575882883, 0.3449406529334295, 1.0, 0.18650086974614466, 0.46888124556962824, 0.4684421533618935, 0.38199182351556676, 0.4657111789180715, 0.27130478408398145, 0.01731228763183555, 0.11351717463644012, 0.3732953738619207, 0.17480039876929107, 1.0, 0.2214331667181729, 0.313092657843705, 0.4102547961950384, 0.4126553309923182, 0.43206739559903856, 0.3252758536961652, 0.9385965403415243, 0.3561093310899542, 0.3830588367854338]"
5,"[20, 8, 14, 4, 29, 16, 19, 3, 12, 7, 22, 21, 17, 13, 18, 6, 31, 1, 11, 2]",20,"[0.11201948798814794, 0.23728249936478907, 0.2040884287654161, 0.44918089543793444, 0.5407942118310504, 0.007259169095755541, 0.24622818842680746, 0.41484817520767564, 0.7654340396584957, 0.07170477454658929, 0.1877740522586713, 0.2332754950011813, 0.43510681886823094, 0.2746704231607062, 0.7258457176889839, 0.10766790715293105, 0.49650345455503403, 0.2924850848937404, 0.2688420907642598, 0.49306000595910554, 1.0, 0.29847501683829, 0.35490733333817426, 0.0858304794664753, 0.16892530823885513, 0.14698821338903248, 0.041506222340284116, 0.17925679852031254, 0.19868106110194458, 0.5384949918205134, 0.028565970496718173, 0.2394616018421241]"
6,"[6, 9, 31, 2, 5, 17, 8, 23, 28, 19, 26, 7, 20, 16, 3, 4, 29, 25, 22, 12]",20,"[0.20377492512434858, 0.21968435442169865, 0.6132088984690075, 0.30037448157621355, 0.28569839435575234, 0.5964701509016908, 0.7090925246606209, 0.3368681137674674, 0.4398962371605452, 0.6978725165013359, 0.15535565507262258, 0.21869306313215572, 0.23207306726400634, 0.16786117126163744, 0.012502422538611677, 0.12565937741057984, 0.30843800053718645, 0.48685205862627096, 0.07693208717599664, 0.3742223422300541, 0.33083415926874965, 0.2243731303115807, 0.24680054590802988, 0.43076008609352706, 0.19202684197527642, 0.264097532053533, 0.35620438741058996, 0.16515519857845154, 0.4300777105298588, 0.28532567716026264, 0.15682426018687315, 0.669336358201205]"
7,"[21, 11, 8, 25, 6, 22, 27, 4, 26, 9, 29, 17, 15, 5, 10, 16, 12, 3, 1, 24]",20,"[0.20898441500277434, 0.26276004480379006, 0.1904524617780289, 0.2698689390263171, 0.452889019434791, 0.3398519167677739, 0.5164650795149144, 0.08834070978545328, 0.5986014160850814, 0.4463961417474267, 0.316714555289036, 0.6243449566760823, 0.28506556790187193, 0.03026114395520882, 0.18379194575269156, 0.3402808515331695, 0.3057447746648749, 0.3683918737234566, 0.1761729291524612, 0.08133162898662455, 0.2550823812959129, 0.7082946382053293, 0.4643349394519039, 0.11012517762491798, 0.26146389940102194, 0.5227179447650278, 0.4508058751744531, 0.4586221748754116, 0.21014381462501883, 0.4195316414698296, 0.1875432689991778, 0.2247176478993932]"
8,"[15, 1, 12, 13, 30, 27, 24, 22, 0, 23, 17, 14, 26, 16, 19, 6, 25, 4, 5, 11]",20,"[0.38097912258993544, 0.7207593571218949, 0.14669351196478078, 0.04061874252261057, 0.21705577961242814, 0.19716714225849138, 0.23526540291752487, 0.13552596492227462, 0.04470853359230099, 0.06593320411419568, 0.017131269245672945, 0.19524786990850954, 0.6957700088666542, 0.6446081357562453, 0.32373780225688736, 0.8243786390736276, 0.2708979550323859, 0.339163782687218, 0.18933634512823397, 0.25647582486977955, 0.05258195041859348, 0.13063826510836365, 0.38447988252661736, 0.34994671041651104, 0.3873644096033222, 0.226103073416391, 0.28790304721111376, 0.41745219860583394, 0.14925455289784714, 0.19218136104441327, 0.5420600608753298, 0.12074071142654223]"
9,"[22, 10, 13, 4, 31, 18, 3, 24, 30, 1, 14, 5, 7, 11, 6, 9, 20, 16, 25, 27]",20,"[0.1274057583041732, 0.3642847450508035, 0.24220499356297367, 0.4245281267424705, 0.4581272329045721, 0.34394968568664447, 0.31244738384125675, 0.3348929488290701, 0.1259002573153846, 0.310543315581427, 0.874514853226677, 0.3136882769869224, 0.0982716625564301, 0.557330182929004, 0.3599570661228129, 0.11856632155278267, 0.273443209139207, 0.20124791621137303, 0.429333077735307, 0.04185125556924388, 0.28009078101168433, 0.25531058604883056, 0.9337657930332458, 0.2293556231115651, 0.39809944592176333, 0.2728286515973102, 0.17057132858247417, 0.2596656651416173, 0.15594747404759404, 0.2504982461711897, 0.36953731060890177, 0.43701917824567377]"
10,"[21, 20, 10, 4, 27, 30, 9, 11, 31, 1, 5, 19, 22, 3, 0, 25, 24, 15, 23, 12]",20,"[0.3274714499766007, 0.4248206410069482, 0.23819636540578548, 0.3419090869195624, 0.49430360092519704, 0.38629174501249514, 0.23322232359287765, 0.05875171698439958, 0.2559944692548633, 0.4457958470041678, 0.5540649629383909, 0.434807649216636, 0.2613341142460476, 0.14654934301571218, 0.07691251422454827, 0.28376266109804543, 0.0966814963715215, 0.1577604814414166, 0.11700802962582298, 0.36432395776513576, 0.6104304831340486, 0.8471178242572224, 0.35424322343673303, 0.27198047137527226, 0.2898149855590645, 0.3175089251958578, 0.10135299956687664, 0.48331238704632334, 0.07595012568039039, 0.03285147528228589, 0.45425610565776947, 0.4290377096524898]"
11,"[12, 8, 19, 6, 7, 2, 16, 25, 18, 17, 1, 20, 23, 14, 3, 26, 31, 13, 27, 28]",20,"[0.14932363571816953, 0.3634143941318589, 0.44449603891837147, 0.28812814075615684, 0.11879321688882961, 0.09749138921965118, 0.6364929230785376, 0.4708942664902334, 0.7747644252929575, 0.1873535198323554, 0.19510731153337627, 0.07511714253126921, 0.9470234926297456, 0.2194516095373639, 0.31135625278737983, 0.0818332447627405, 0.403735061655568, 0.36532098673456687, 0.3765390538005584, 0.6655221377520723, 0.34030523407404445, 0.17166731235991686, 0.17021534036353878, 0.3304346880958577, 0.073915443966497, 0.3895079209981677, 0.259086562014515, 0.20801655303192557, 0.19790746723071204, 0.1881456109653151, 0.172073860602555, 0.22573277963992402]"
12,"[30, 17, 4, 16, 6, 25, 22, 14, 28, 7, 8, 1, 27, 29, 19, 5, 10, 21, 24, 11]",20,"[0.14678591394996587, 0.30992257930197126, 0.10102747172273065, 0.17942388513372412, 0.537762675931435, 0.27561556341211163, 0.48431664711607464, 0.38427294013559726, 0.35334502554766484, 0.005411713238598796, 0.22981510199600097, 0.19705852272484115, 0.012614818293594064, 0.13162008211390208, 0.4370804970550905, 0.17498578954514224, 0.4888000613657866, 0.540718861135371, 0.17145668717525928, 0.276967405487229, 0.09829276317131015, 0.22705204536071288, 0.4483376368341197, 0.020762419931855163, 0.19918128897175155, 0.4599577345154991, 0.10827409110419932, 0.29432499224243075, 0.4269547451314441, 0.2914018767521683, 0.6904242615073976, 0.12885155637357673]"
13,"[29, 19, 15, 6, 2, 24, 9, 30, 12, 18, 3, 1, 5, 25, 10, 27, 11, 0, 26, 4]",20,"[0.2706027335123149, 0.39031880296364124, 0.462630218238872, 0.412323980180657, 0.22576000012104389, 0.32561037494812467, 0.49814735295841023, 0.08688546865558926, 0.0974275602051956, 0.4560636070249382, 0.3010334751542078, 0.27148098894493905, 0.42907187346603665, 0.21297928281838416, 0.14648559860320454, 0.5285620949681387, 0.21164000649118142, 0.19080475916647485, 0.4251951725792303, 0.6261721434696581, 0.17215935866050727, 0.07509681676781944, 0.21475854324518076, 0.1533095182178771, 0.4616403596382839, 0.312560784421775, 0.2524849623595522, 0.2912306591256238, 0.16839197302712094, 0.7903168411196676, 0.44248645086038346, 0.1837863938843507]"
14,"[3, 21, 4, 27, 26, 8, 30, 9, 0, 12, 29, 23, 17, 24, 20, 19, 14, 31, 18, 5]",20,"[0.4313263182530492, 0.12848293944760983, 0.05320541190531847, 1.0, 0.7212043662436892, 0.24114482599171894, 0.17011827046755515, 0.009208560419784382, 0.4792029917299576, 0.4526232484301482, 0.08120032557734597, 0.15449432076783706, 0.4115070145790263, 0.18137685186391206, 0.29911601062801685, 0.21348531674348195, 0.19605001069934733, 0.3703216788961146, 0.2726078431280295, 0.3217355839933113, 0.3471224212570407, 0.8996449200338309, 0.16236991507727302, 0.3728834264635698, 0.35393020153345817, 0.024862914516333597, 0.4887816771623634, 0.49105147893208345, 0.04068755187019004, 0.39209472035319304, 0.47373604024349936, 0.2883606017048894]"
15,"[9, 30, 20, 29, 6, 27, 23, 24, 1, 11, 28, 19, 0, 31, 26, 21, 13, 18, 16, 3]",20,"[0.3308094551040945, 0.37209208227894575, 0.07344294867147472, 0.278922002913823, 0.20485784906380208, 0.19232000827326737, 0.4496069956682122, 0.24740448745637134, 0.2197144277072576, 0.7958924409729029, 0.029956600199580175, 0.3689005157360907, 0.1573759839582095, 0.28279829276577945, 0.17948854663859085, 0.2095493486469079, 0.27946345354055907, 0.03793273397858573, 0.27991113416433905, 0.3375095592551613, 0.5030008447126424, 0.2887061006524059, 0.19771953159366507, 0.40420783839167185, 0.3909906214254137, 0.05633123509652314, 0.3010734524750596, 0.4357833213279572, 0.35883289695308546, 0.4784698172205655, 0.776107962001011, 0.3172284900503109]"
16,"[20, 0, 19, 6, 21, 26, 16, 31, 30, 9, 24, 7, 5, 11, 18, 28, 22, 14, 25, 17]",20,"[0.3979179082186503, 0.058400258446023125, 0.0043277405774003455, 0.146824962095165, 0.0961760870885298, 0.2979287441162762, 0.3720127893368765, 0.30317562354877575, 0.07003157135589959, 0.3140292032233885, 0.1627783482291049, 0.2956163904524926, 0.10511970686766743, 0.09321600249070877, 0.2651072645853722, 0.18616385939433558, 0.35028347135802, 0.21748389226763298, 0.28167728755903004, 0.3848189273923793, 0.5509142068506115, 0.3690111049230857, 0.2660429385641631, 0.12158604245813741, 0.30683702993020184, 0.2470185279103562, 0.352258556858209, 0.2130846499883292, 0.27930454368786384, 0.1651016908476445, 0.3412234299028625, 0.3455938697636471]"
