participant,channels,n_channels,channel_acc
1,"[14, 5, 10, 2, 18, 17, 0, 16, 12, 26, 22, 21, 1, 8, 20, 19, 29, 15, 23, 24]",20,"[0.49516625929227603, 0.2908423763684789, 0.690622720419368, 0.1153453218889634, 0.026343180830789764, 0.7828759919278574, 0.1070743455542173, 0.12943860422368234, 0.28930025723606057, 0.1459504712670308, 0.7630677057341471, 0.08826138057613435, 0.4687796082575412, 0.03856623338568349, 0.8209808076289269, 0.20255365721555926, 0.47772576058346705, 0.5114593413022325, 0.538285254953123, 0.2621696842059725, 0.26268875804114633, 0.3023724614972719, 0.3579386419317585, 0.1637845061606518, 0.15036929656738532, 0.13339415040447625, 0.36614260499275275, 0.04374618054199423, 0.08421039462714693, 0.2322339572617019, 0.1184075537465095, 0.010292791224840298]"
2,"[16, 9, 21, 22, 17, 0, 2, 7, 29, 19, 25, 20, 12, 8, 5, 4, 18, 10, 14, 13]",20,"[0.48717396617158276, 0.16035934422477707, 0.46822002687670355, 0.1671482841145433, 0.20398510881830859, 0.24626209777873057, 0.18929534250609029, 0.404646312947125, 0.2546192490015757, 0.7098833618242187, 0.1963337997571651, 0.08643527223797376, 0.27407147661793213, 0.1922156492363547, 0.19386664419140823, 0.09853074616966528, 1.0, 0.5007862365775625, 0.19894583121060636, 0.30402711753619327, 0.2921874544407386, 0.6485409883597923, 0.5354712291236644, 0.13551891146005976, 0.023057317438390568, 0.2977125502394439, 0.14934743853590718, 0.03884899045212078, 0.15574512578228614, 0.3810224991478719, 0.15548554661554895, 0.029547094677735166]"
3,"[4, 29, 5, 31, 24, 6, 30, 28, 15, 12, 14, 9, 23, 13, 16, 19, 17, 8, 25, 3]",20,"[0.0182517734760263, 0.19566968818777264, 0.1517989374814781, 0.21245375976281386, 1.0, 0.4945736851511893, 0.46718290091511133, 0.16683789011242345, 0.252855774143394, 0.33517332821532886, 0.0, 0.030266023172171325, 0.35479596328135443, 0.31770683185284204, 0.33543992821113555, 0.35684252009544776, 0.31060984440112066, 0.28881138762588554, 0.036105800371264846, 0.3054319806964165, 0.06963904431345695, 0.1765637730899773, 0.1019352001869172, 0.3177893381290403, 0.4881316429324764, 0.24982674104661282, 0.18125045816368499, 0.15896317810419958, 0.3952335414960513, 0.9651831522033628, 0.45977821625015564, 0.4937446825944261]"
4,"[13, 18, 2, 25, 17, 12, 0, 19, 3, 14, 31, 28, 8, 1, 22, 21, 29, 11, 4, 6]",20,"[0.3551853151362221, 0.26478174913462066, 0.4568433530360194, 0.3218925628670745, 0.20177634394043512, 0.06315867832653384, 0.1796155928431834, 0.1756177689413473, 0.27804554823472366, 0.0013832443431275852, 0.049842946558704714, 0.21709402409746645, 0.36091086511480364, 0.5766492063123589, 0.31126295886948896, 0.07160333929330236, 0.0871837830499053, 0.36316414892548726, 0.47497762692909923, 0.35474712528639135, 0.0643270147195114, 0.23494862374189185, 0.2634935120335022, 0.10899368330757948, 0.16628121668653043, 0.4032292085540163, 0.15788651542003282, 0.13286225296066215, 0.2935959407457182, 0.22925808416557736, 0.12315126727768226, 0.30447947122028923]"
5,"[24, 18, 2, 20, 27, 29, 12, 0, 31, 9, 26, 3, 14, 25, 21, 22, 7, 16, 1, 11]",20,"[0.42276461134372134, 0.2581501583550701, 0.4843751250337502, 0.36618360291665103, 0.24592470458980262, 0.0, 0.2227488908457288, 0.27510743840395613, 0.15997734419518153, 0.37614537587208813, 0.07215376160062076, 0.2562422427993399, 0.44191009309589707, 0.033733591791814475, 0.3510207213551713, 0.10620906874875569, 0.27431559774737163, 0.020254462043404673, 0.5329653714918554, 0.0953389961895435, 0.4792095846005621, 0.34693708946074625, 0.2812532028344508, 0.03109454551169456, 0.9953659900821795, 0.3494749400785375, 0.3727402267044139, 0.4726080083906384, 0.17993446148565084, 0.4547509084035186, 0.18779151393970225, 0.4159208221247696]"
6,"[12, 23, 20, 29, 22, 15, 25, 21, 0, 8, 27, 16, 6, 19, 31, 13, 17, 26, 14, 5]",20,"[0.37003850818793094, 0.1862198041285025, 0.18251680490313169, 0.026273271058104296, 0.006967649750601751, 0.19733146858028872, 0.3224736659844358, 0.016607919195108362, 0.3486209181717652, 0.022725227913149914, 0.12268585192509777, 0.11997257958006691, 1.0, 0.2438515059924802, 0.20168219522520095, 0.3962904153164497, 0.32298554754584446, 0.22781759781669605, 0.11139919824768396, 0.28415158389056466, 0.46241809758758645, 0.3708925748823695, 0.4402577714581117, 0.5189675781424362, 0.1824131979226745, 0.38135473881307475, 0.2066017421807699, 0.33919775061108487, 0.1645639008476121, 0.4432034311686208, 0.13649144476030456, 0.26260376169123933]"
7,"[12, 2, 5, 7, 30, 29, 15, 3, 19, 25, 26, 11, 31, 4, 8, 13, 22, 28, 6, 23]",20,"[0.08115819859492589, 0.06989078828315326, 0.6868466821368527, 0.4580347506916436, 0.30075910250915805, 0.6373536764340532, 0.2379817118747017, 0.6050294748153408, 0.295402014164387, 0.09869576755753014, 0.2188523921653823, 0.3462917367369693, 0.9658256237472672, 0.2787812086912537, 0.15119517130957225, 0.4637322767423475, 0.20214711582899714, 0.17135943003588847, 0.14780730986335608, 0.4551999938024798, 0.11358022515428196, 0.19653857064141403, 0.2520400023648424, 0.2348089817879165, 0.2232636900253452, 0.38825932741002456, 0.37598010252169384, 0.17254389918644222, 0.247514430655888, 0.4892180146761816, 0.5579203136893925, 0.3431459376089383]"
8,"[10, 17, 2, 12, 9, 13, 22, 6, 18, 27, 21, 16, 14, 8, 28, 20, 19, 4, 26, 24]",20,"[0.20845670110736716, 0.20135126566480657, 0.7933388657355428, 0.15882323977273724, 0.23318526462464353, 0.14347734181865895, 0.4364328799886347, 0.1624938648774393, 0.3101714418315535, 0.6183372593836326, 1.0, 0.13908653595923728, 0.6785262182451556, 0.4681735991227794, 0.3171129323528187, 0.1869900211735315, 0.36619016349372213, 0.9903801081446542, 0.40433529551384123, 0.25985655737790186, 0.26987185814941855, 0.38704816426487865, 0.4630681375052645, 0.16967301145301636, 0.2134151185514819, 0.18590337984689334, 0.21583053651424222, 0.4031872431289199, 0.284195589621278, 0.11835363624876595, 0.20502140326965587, 0.15052851834252856]"
9,"[0, 18, 1, 3, 25, 11, 13, 20, 28, 23, 5, 24, 31, 22, 7, 4, 2, 10, 16, 19]",20,"[1.0, 0.5907011126301793, 0.2579264867780982, 0.5872899189516968, 0.25910207350576026, 0.37870343652906185, 0.09511080394069488, 0.3210720741196198, 0.13472347376223717, 0.050235427393309474, 0.22727625922315955, 0.47195498885498127, 0.0013640114386945605, 0.45572685074042535, 0.18827343028115798, 0.14030667575555886, 0.19901454960418574, 0.141548744707058, 0.9170608374266503, 0.19608212813778972, 0.42703696252659257, 0.06432910854799781, 0.34245016896045005, 0.3787629662851592, 0.3628039254528141, 0.49437827604134227, 0.18895820384847314, 0.15263106605397184, 0.3985574609864817, 0.10699529222494782, 0.14144837175189043, 0.3605322288947832]"
10,"[4, 2, 30, 10, 19, 7, 26, 12, 14, 6, 13, 8, 9, 0, 18, 16, 11, 3, 25, 5]",20,"[0.31046189953997044, 0.04742905541356791, 0.8209377046806562, 0.20437624892310144, 0.8687994676512562, 0.17526827777023757, 0.3327000493817203, 0.4666056056642374, 0.3251178034504154, 0.3218015032690819, 0.5171702321333926, 0.2251466092318266, 0.432750713526215, 0.33145873922441926, 0.40582421899372284, 0.0630104603535082, 0.25552334037125785, 0.09209231341306934, 0.27513339263481246, 0.4750568924951361, 0.14878052940390116, 0.11827065148170202, 0.12671306554461517, 0.033615261363892306, 0.06850907230723803, 0.19046161073088053, 0.43735491234822477, 0.12362526670396072, 0.06724247182202461, 0.14093722375862391, 0.5174456312848726, 0.02164989054910581]"
