participant,channels,n_channels,channel_acc
1,"[20, 6, 9, 31, 5, 15, 11, 21, 25, 24, 30, 12, 19, 4, 13, 17, 14, 22, 7, 1]",20,"[0.0, 0.0, 0.0, 0.0, 0.06043447357837306, 0.5, 1.0, 0.0, 0.0, 0.9840122920838356, 0.0, 0.4327247542335929, 0.21667284510154783, 0.0445818260470318, 0.010785409863498074, 0.5, 0.0, 0.019936625438339517, 0.0, 0.08126267308691912, 1.0, 0.4252504953446571, 0.006281370607630454, 0.0, 0.38229857677968465, 0.4167181213747353, 0.0, 0.0, 0.0, 0.0, 0.34860775000564104, 0.9216496120193679]"
2,"[31, 30, 15, 24, 23, 4, 3, 26, 20, 6, 12, 5, 0, 25, 16, 2, 17, 9, 8, 19]",20,"[0.3434194088799004, 0.0, 0.23304338849186906, 0.5, 0.5183537874460373, 0.34407777988392235, 0.4469535025539697, 0.0, 0.09956456207332316, 0.11040849773556768, 0.0, 0.0, 0.34911905030963686, 0.0, 0.08507361025393265, 0.946462103188821, 0.24714700515921595, 0.17207460997237586, 0.0, 0.0911304446609136, 0.47013763092194655, 0.06716916973978299, 0.0, 0.548113281462957, 0.9214428003716917, 0.2710813623216827, 0.5, 0.0, 0.0, 0.0, 1.0, 1.0]"
3,"[3, 9, 23, 2, 5, 27, 6, 26, 21, 10, 22, 16, 14, 0, 25, 13, 31, 30, 17, 12]",20,"[0.20184743862762844, 0.0, 0.5518125841108918, 1.0, 0.0, 0.39858003776373024, 0.3411755873016976, 0.0, 0.0, 1.0, 0.2492788494033727, 0.0, 0.0, 0.11659590215465157, 0.22985290356183158, 0.0, 0.24237897002628778, 0.0, 0.0, 0.0, 0.0, 0.304918836073395, 0.24798281703227812, 0.95, 0.0, 0.13779016140708872, 0.33744306773215155, 0.38751933871018374, 0.0, 0.0, 0.0, 0.021623618522176813]"
4,"[28, 27, 11, 1, 9, 23, 29, 18, 14, 12, 13, 16, 30, 15, 0, 20, 5, 8, 4, 21]",20,"[0.14865661320126322, 0.9054898809123942, 0.0, 0.0, 0.06047069321970519, 0.08422532201951449, 0.0, 0.0, 0.0720613218061007, 0.7770155914601342, 0.0, 1.0, 0.4069603089437724, 0.39963008187075455, 0.4195012746177956, 0.20699792830262437, 0.3846696689021073, 0.0, 0.4431960899068105, 0.0, 0.10520113132948776, 0.040095999618455544, 0.0, 0.49809386575301184, 0.0, 0.0, 0.0, 1.0, 1.0, 0.46432668679120276, 0.27289892379718533, 0.0]"
5,"[29, 28, 8, 12, 17, 9, 1, 4, 5, 13, 11, 25, 0, 30, 27, 10, 18, 3, 2, 20]",20,"[0.46108326957799445, 0.7656816293752637, 0.2758654831161046, 0.2774981132070654, 0.5, 0.4998049227823482, 0.0, 0.0, 1.0, 0.8280805627777552, 0.39870741745102, 0.4773624207660099, 0.9661887402448165, 0.4906316499371851, 0.0, 0.13813148576810708, 0.0, 0.8720433056207204, 0.27840258001351287, 0.09752642776330117, 0.2290298434231406, 0.0, 0.0370671506651834, 0.1638188142318618, 0.0, 0.46422325396369285, 0.0, 0.3998514944975585, 1.0, 1.0, 0.4377691594320711, 0.03323595849125072]"
6,"[22, 23, 16, 17, 21, 0, 2, 10, 25, 4, 5, 12, 3, 6, 7, 8, 1, 9, 11, 31]",20,"[0.878668892793593, 0.0, 0.3835346081009318, 0.0, 0.023948637453263727, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3826041824171723, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.246879564828611, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7,"[2, 8, 19, 4, 10, 12, 14, 20, 27, 18, 26, 24, 23, 17, 15, 11, 0, 28, 1, 21]",20,"[0.16447518152696816, 0.1263682358118265, 1.0, 0.0, 0.9174920726575031, 0.0, 0.0, 0.0, 1.0, 0.0, 0.8793810212763329, 0.18529749122350236, 0.5, 0.0, 0.4471613959272403, 0.18983417222836735, 0.005952729027456305, 0.21514732523284935, 0.3665941421588993, 1.0, 0.42584631916738935, 0.021407332381024796, 0.0, 0.26772920421890345, 0.30751041778679455, 0.0, 0.3431207228402316, 0.42143332433393543, 0.1289729694327919, 0.0, 0.0, 0.0]"
8,"[14, 2, 25, 27, 10, 19, 15, 23, 16, 9, 8, 5, 7, 6, 12, 4, 3, 1, 11, 31]",20,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4145303941960222, 0.0, 0.0, 0.0, 1.0, 0.2187789977074308, 0.009456675009564059, 0.0, 0.0, 0.3850234973998318, 0.0, 0.0, 0.0, 0.09551999169661785, 0.0, 0.7635151754426238, 0.0, 0.6868524066015209, 0.0, 0.0, 0.0, 0.0]"
9,"[23, 6, 8, 22, 15, 31, 9, 28, 5, 30, 11, 29, 16, 0, 3, 27, 26, 1, 2, 4]",20,"[0.03948191958283953, 0.0, 0.0, 0.020332196090717042, 0.0, 0.2452390111094252, 1.0, 0.0, 1.0, 0.25659554510300997, 0.0, 0.20471816896930484, 0.0, 0.0, 0.0, 0.47884221821629835, 0.06230544114931014, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 1.0, 0.0, 0.0, 0.0017701007903067056, 0.007519464945360932, 0.25304480129063234, 0.09585193517344442, 0.2139432082860595, 0.3205157738992569]"
10,"[8, 10, 28, 0, 19, 18, 22, 13, 7, 26, 15, 29, 12, 5, 23, 20, 27, 1, 2, 3]",20,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0835050007897219, 0.0, 0.23595003587695004, 1.0, 0.0, 1.0, 0.0, 0.0838476289549488, 0.23869025165388413, 0.0, 0.19185544277689343, 0.0, 0.0, 0.3662730985875452, 0.39870008719902583, 0.0, 0.0, 0.284829259086647, 0.04258093633538765, 0.0, 0.0, 0.19686116742827853, 0.0, 0.6206531322491325, 0.1429130361447765, 0.0, 0.0]"
