participant,channels,n_channels,channel_acc
1,"[27, 9, 4, 5, 21, 28, 18, 2, 17, 8, 26, 1, 31, 16, 11, 22, 6, 13, 10, 7]",20,"[0.0, 0.3378005118022436, 0.4369687616932416, 0.0, 1.0, 0.624151221161487, 0.17514032733921497, 0.0, 0.3820340020668459, 1.0, 0.07824176744241737, 0.2777849632220084, 0.0, 0.15477573618647233, 0.0, 0.0, 0.29154162553411694, 0.386405425716843, 0.44339462905983507, 0.0, 0.0, 0.4985654552155695, 0.25198231156291484, 0.0, 0.0, 0.0, 0.3651349929889517, 1.0, 0.47886367712377237, 0.0, 0.0, 0.30259112045863723]"
2,"[29, 27, 3, 9, 10, 23, 6, 0, 24, 5, 8, 12, 1, 15, 17, 16, 28, 2, 26, 4]",20,"[0.37150109721350755, 0.13825802872995896, 0.0, 1.0, 0.0, 0.23781783808264556, 0.38758747377799957, 0.0, 0.22195169897645367, 1.0, 1.0, 0.0, 0.2000902165410978, 0.0, 0.0, 0.08700896971498473, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5303427526785787, 0.2711409786392025, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0]"
3,"[23, 3, 5, 27, 19, 18, 6, 31, 25, 12, 13, 1, 21, 29, 8, 26, 9, 2, 28, 4]",20,"[0.0, 0.25813056184597744, 0.10190885082301332, 1.0, 0.04905609935090789, 0.7451798647890454, 0.34070437325357006, 0.0, 0.1723326601943338, 0.11684236742876367, 0.0, 0.0, 0.3032398924513803, 0.2682399028384592, 0.043694948603195546, 0.0, 0.0, 0.0, 0.3425400166035499, 0.5, 0.0, 0.23054985073501888, 0.017232172332495466, 1.0, 0.0, 0.3063548504608435, 0.16897740775122302, 0.5811236639349965, 0.08826246970950391, 0.18378777853734846, 0.0, 0.32560242276372686]"
4,"[31, 5, 17, 28, 6, 24, 11, 20, 12, 21, 27, 19, 30, 22, 29, 25, 14, 9, 13, 4]",20,"[0.0, 0.0, 0.0, 0.0, 0.09432011966994269, 1.0, 0.8183151232901277, 0.0, 0.0, 0.20689460952369357, 0.040574875283136635, 0.5, 0.4887222887683137, 0.19855031219947006, 0.2253908457857872, 0.0, 0.0, 1.0, 0.07267676003353196, 0.3981793844800244, 0.5, 0.4825560630212693, 0.3470866694273187, 0.053028894978873475, 0.5, 0.29702475863062905, 0.0, 0.40425761119706116, 0.8372469329167926, 0.33687274189072264, 0.34954500846743136, 1.0]"
5,"[14, 7, 12, 8, 24, 28, 22, 9, 10, 20, 15, 23, 6, 4, 2, 21, 5, 18, 11, 31]",20,"[0.0, 0.0, 0.1863896414750462, 0.0, 0.23353499862326288, 0.11437896251598939, 0.25659777774139236, 1.0, 0.7368314424521125, 0.4285662188046373, 0.40800057023924174, 0.07965939615176895, 0.8602175553603053, 0.0, 1.0, 0.3459964614864034, 0.0, 0.0, 0.08885621840123337, 0.0, 0.3863420398864857, 0.13503925235820807, 0.46814674410911294, 0.29051548957077616, 0.5873946210185124, 0.0, 0.0, 0.0, 0.49928292704457455, 0.0, 0.0, 0.032115651070892426]"
6,"[28, 12, 19, 26, 27, 5, 15, 30, 14, 11, 3, 24, 17, 31, 18, 10, 4, 25, 7, 1]",20,"[0.0, 0.014735166489498519, 0.0, 0.3539764581623197, 0.13844307658290222, 0.5, 0.0, 0.020955872850886792, 0.0, 0.0, 0.17336961525882127, 0.3580240047275107, 1.0, 0.0, 0.40853391905209935, 0.45125177772826064, 0.0, 0.29892082503630835, 0.1754341889100931, 1.0, 0.0, 0.0, 0.0, 0.0, 0.34624578408663576, 0.1024705310692614, 0.683552545940858, 0.5833616808753831, 1.0, 0.0, 0.43734278534503956, 0.24764423141467282]"
7,"[16, 29, 19, 12, 5, 25, 10, 11, 17, 7, 28, 21, 3, 31, 23, 15, 18, 9, 2, 27]",20,"[0.0, 0.0, 0.17137184533493602, 0.4553743338640799, 0.0, 0.5, 0.0, 0.4905894657313477, 0.0, 0.22601897737089724, 0.5, 0.5, 0.5249425484697032, 0.10330759228853628, 0.041451100716198674, 0.2669577841031397, 1.0, 0.4996154277152713, 0.24612461570891125, 1.0, 0.0, 0.45618101010728074, 0.0, 0.40436149201435784, 0.0, 0.5, 0.0, 0.16751997388223028, 0.47099829011834493, 1.0, 0.0, 0.42022117930502667]"
8,"[26, 19, 9, 18, 15, 20, 28, 8, 0, 3, 21, 22, 17, 2, 6, 29, 5, 23, 27, 1]",20,"[0.4099065036801659, 0.0, 0.18405527329849924, 0.3959507932466303, 0.0, 0.10205750094281396, 0.1834743969166055, 0.0, 0.4113066651592117, 0.706614775866075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6131074644554221, 0.0, 0.21127480614566518, 0.6341641775686397, 1.0, 0.5, 0.37942574759666275, 0.35902526505207266, 0.05703295233458829, 0.0, 0.0, 1.0, 0.0, 0.4589508240349072, 0.12283662141679397, 0.0, 0.0]"
9,"[6, 24, 30, 7, 3, 18, 2, 9, 8, 31, 10, 1, 12, 26, 11, 22, 21, 27, 5, 4]",20,"[0.0, 0.26942571661990894, 0.4694300460176497, 0.5, 0.0, 0.0, 1.0, 1.0, 0.433974908121816, 0.4560025059950576, 0.34021903988851837, 0.1804872244626024, 0.2567857978563637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.49594042710566866, 0.0, 0.0, 0.015128193960363467, 0.15852000975486158, 0.0, 1.0, 0.0, 0.22319131856204388, 0.0011199991541964134, 0.0, 0.0, 1.0, 0.36113149070807515]"
10,"[9, 18, 19, 22, 29, 12, 28, 3, 2, 10, 27, 24, 31, 25, 26, 1, 4, 5, 6, 7]",20,"[0.0, 0.0, 0.2941977798357239, 0.30285373247567354, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.23674336246418098, 0.0, 0.4473737631300752, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.5459731589493633, 0.0, 0.15115064243080023, 0.0677450822067347, 0.04136476436692162, 0.2180694640724486, 0.3292034057584431, 0.49543907789338365, 0.0, 0.08015302874653886]"
