participant,channels,n_channels,channel_acc
1,"[5, 6, 10, 23, 15, 9, 3, 21, 13, 2, 27, 11, 28, 12, 26, 0, 22, 29, 30, 25]",20,"[0.35227839337162936, 0.0, 0.46134283927852465, 0.5682678275169221, 0.0, 1.0, 0.8728134385499275, 0.0, 0.0, 0.6478657361067588, 0.8181032805690719, 0.44040715424686494, 0.3904974061038021, 0.49526894042978215, 0.0, 0.6917106741744469, 0.12266721775426832, 0.0, 0.11896517901568068, 0.0, 0.10624535480301699, 0.5, 0.3401940856089413, 0.7829226845871384, 0.14497913714705168, 0.2318073558492253, 0.38439810470330926, 0.46088197991429913, 0.4284538644117375, 0.3214319467293315, 0.24785872467461886, 0.043107671192272906]"
2,"[25, 22, 2, 17, 9, 15, 27, 24, 5, 30, 10, 28, 16, 4, 11, 6, 7, 3, 8, 1]",20,"[0.0, 0.0, 0.8752303455408807, 0.0, 0.06796060866437631, 0.42718375210847526, 0.0, 0.0, 0.0, 0.7805812989733406, 0.3252307647837812, 0.0, 0.0, 0.0, 0.0, 0.48545269538506153, 0.09611732691900787, 0.8259051376716238, 0.0, 0.0, 0.0, 0.0, 0.9230774856828331, 0.0, 0.4289606314065556, 1.0, 0.0, 0.47620050466070984, 0.18271097689892146, 0.0, 0.3659210709969366, 0.0]"
3,"[7, 8, 10, 0, 21, 4, 19, 9, 13, 17, 12, 23, 15, 3, 22, 18, 27, 1, 2, 29]",20,"[0.45311624699067343, 0.0, 0.0, 0.046721313155082815, 0.41065318457243066, 0.0, 0.0, 1.0, 1.0, 0.25396399999567587, 0.5549632007413374, 0.0, 0.18983329870819932, 0.2490619150000095, 0.0, 0.104074859761034, 0.0, 0.2334336931578505, 0.0, 0.38522786590833635, 0.0, 0.42055202131946734, 0.012491402670553986, 0.13849647014136363, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,"[21, 13, 20, 7, 1, 30, 29, 27, 25, 4, 8, 16, 9, 31, 6, 11, 5, 3, 2, 10]",20,"[0.0, 0.4737130125956969, 0.0, 0.0, 0.13065331786950518, 0.0, 0.0, 0.5, 0.1258775547614435, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.026078486153875896, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.22851356979189066, 0.0, 0.23079915581117727, 0.0, 0.24037388061169235, 0.37140616548890765, 0.0]"
5,"[15, 13, 17, 26, 21, 27, 25, 4, 11, 23, 14, 12, 9, 3, 10, 5, 6, 7, 2, 8]",20,"[0.0, 0.0, 0.0, 0.0, 0.17904452268957355, 0.0, 0.0, 0.0, 0.0, 0.00911449668938491, 0.0, 0.14334282382692176, 0.04329361890459022, 1.0, 0.11331630812021803, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.4325268572903921, 0.0, 0.1290761472984, 0.0, 0.2021127681570558, 0.45008694452376485, 0.39992935822208664, 0.0, 0.0, 0.0, 0.0]"
6,"[13, 0, 28, 9, 4, 23, 18, 24, 25, 16, 21, 3, 22, 19, 30, 15, 17, 1, 14, 20]",20,"[0.7399674577509919, 0.018415358266519632, 0.0, 0.24970749705540352, 0.4617443526743943, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 1.0, 0.0, 0.07906601631452222, 0.27678032616894144, 0.0398297331777391, 0.40378918053316304, 0.15780753360733285, 0.0, 0.26064079861109, 0.2418654057826335, 0.44745432973337773, 0.39477624726527694, 0.3165508495150176, 0.0, 0.0, 0.5, 0.0, 0.11101268426428793, 0.0]"
7,"[16, 27, 3, 28, 5, 0, 11, 4, 2, 13, 25, 7, 29, 23, 21, 6, 30, 10, 20, 22]",20,"[0.5, 0.0, 0.5, 0.9016624387597862, 0.5, 0.547723791123144, 0.2987548530410053, 0.4333068913779232, 0.0, 0.007817790539309616, 0.2594613139795115, 0.5, 0.0, 0.46024468877796487, 0.0, 0.0, 1.0, 0.0, 0.0, 0.10965654551772111, 0.2097858230734166, 0.30430683934658775, 0.11388824653746082, 0.31134008839394156, 0.0, 0.45892871520517714, 0.0687131934370018, 1.0, 0.7119401257927173, 0.39631515223869207, 0.28371870699845436, 0.0]"
8,"[6, 17, 13, 24, 10, 30, 16, 4, 22, 14, 29, 27, 26, 5, 21, 9, 15, 31, 18, 12]",20,"[0.0, 0.0, 0.0, 0.0, 0.37944556532092805, 0.06915584665091902, 1.0, 0.0, 0.0, 0.04669216366992207, 0.5906766119917346, 0.0, 0.0, 1.0, 0.2970087496254133, 0.02738328916675109, 0.3804604855596697, 1.0, 0.0, 0.0, 0.0, 0.04948191063124141, 0.3639710857783127, 0.0, 0.8811044289738614, 0.0, 0.07047760945783615, 0.11261221396100374, 0.0, 0.24142840880396926, 0.4971934645439393, 0.024084931688365563]"
9,"[19, 2, 11, 3, 9, 4, 6, 7, 16, 14, 12, 31, 10, 8, 5, 1, 13, 15, 30, 17]",20,"[0.0, 0.0, 1.0, 0.7450881135637788, 0.3453565024340793, 0.0, 0.1761939213918639, 0.13724114817349278, 0.0, 0.4818747740516962, 0.0, 1.0, 0.0, 0.0, 0.08636927298078245, 0.0, 0.10543371863356506, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
10,"[7, 18, 8, 22, 20, 3, 23, 30, 19, 4, 27, 5, 0, 26, 28, 31, 9, 21, 29, 24]",20,"[0.3138535490189006, 0.029121934744732236, 0.12406218273928882, 0.46673084132084974, 0.34561721843915394, 0.31706282430996824, 0.0, 0.9749827932295688, 0.818823697968623, 0.26513528117052765, 0.0, 0.0, 0.11129461123761303, 0.058763868566497346, 0.080696954942923, 0.012546889764514568, 0.16175478698870843, 0.0026749036294516637, 0.952622572379259, 0.3513089532306397, 0.4947467144507697, 0.24258339381683236, 0.647126041104873, 0.45737636080719074, 0.18134845146618478, 0.1434039149405575, 0.28048565591792746, 0.3406691116466711, 0.27126251865753226, 0.227432170593448, 0.378595673277144, 0.26684832448782986]"
11,"[15, 30, 24, 9, 11, 27, 17, 29, 28, 22, 23, 18, 5, 3, 12, 0, 31, 25, 16, 14]",20,"[0.1420535932357439, 0.0, 0.0, 0.17053235318814475, 0.0, 0.20949697643848045, 0.0, 0.0, 0.0, 1.0, 0.0, 0.7729514914414928, 0.1640872468138801, 0.0, 0.0, 1.0, 0.0, 0.4421071203028786, 0.2137730804363851, 0.0, 0.0, 0.0, 0.40459987796832075, 0.29712807456766105, 1.0, 0.0019102522068052963, 0.0, 0.4631688816199513, 0.4237734903753116, 0.4406801123696995, 1.0, 0.09407361535877701]"
12,"[5, 6, 31, 18, 20, 27, 17, 29, 24, 28, 22, 15, 23, 19, 8, 1, 2, 3, 4, 26]",20,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.8866420003460316, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03898482767610363, 0.0, 0.09973688407249581, 0.8212282947851925, 0.0, 0.705524297017162, 0.0, 0.04925035421193441, 0.03885925800355733, 0.05813211337800067, 0.0, 0.0, 0.33401848340917184, 0.05428494101258982, 0.0877037699559812, 0.0, 0.8787865432980269]"
13,"[5, 13, 6, 8, 27, 25, 24, 7, 14, 31, 29, 22, 12, 11, 1, 19, 18, 3, 23, 17]",20,"[0.0, 0.336211002589039, 0.16378908423037894, 0.2601234843403771, 0.0, 1.0, 0.8281683391754298, 0.5, 0.6048625287676066, 0.1531162362675429, 0.0, 0.38717059426212996, 0.4147034869348216, 0.9397080172059697, 0.5, 0.0, 0.03275397501075066, 0.1723607642352255, 0.269862590524663, 0.29575970248778494, 0.12076441319489456, 0.0, 0.47600723114212756, 0.24293971381317014, 0.5535148089281934, 0.5735540380077935, 0.1387258795787846, 0.589216423267032, 0.0, 0.5, 0.0, 0.5]"
14,"[30, 18, 21, 17, 2, 14, 10, 5, 9, 8, 16, 22, 15, 20, 19, 29, 25, 7, 4, 3]",20,"[0.0, 0.0, 0.4946509160778031, 0.0, 0.0, 0.35660734438242814, 0.0, 0.017713431336229324, 0.3433196638643572, 0.3554011285628417, 0.37155298031740625, 0.0, 0.0, 0.0, 0.4283699755018952, 0.11138233196236769, 0.32654238641902833, 0.5326724719207665, 0.6847708983663465, 0.09781945692096966, 0.11095293318131333, 0.6341852596547964, 0.12366457112445389, 0.0, 0.0, 0.05090641505376356, 0.0, 0.0, 0.0, 0.07230965698479408, 1.0, 0.0]"
15,"[0, 1, 14, 23, 27, 19, 18, 29, 31, 6, 12, 13, 22, 9, 28, 2, 3, 4, 5, 7]",20,"[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.17203018858828195, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1011686103397614, 0.09696988101239679, 0.8153742085143638, 0.0, 0.0, 0.0, 0.28654429340711596, 0.38747350854214113, 0.0, 0.0, 0.0, 0.42696983310508835, 0.0, 0.0, 0.0, 0.42282923525153393, 0.0, 0.19270978627856572, 0.0, 0.17932389607938876]"
